thm	GaussianField.circleTranslation_add	Torus.Symmetry	GaussianField.circleTranslation GaussianField.SmoothMap_Circle.instFunLike GaussianField.SmoothMap_Circle.ext GaussianField.SmoothMap_Circle.mk.congr_simp GaussianField.SmoothMap_Circle.instAddCommGroup GaussianField.SmoothMap_Circle.instModule GaussianField.SmoothMap_Circle GaussianField.SmoothMap_Circle.instTopologicalSpace
thm	GaussianField.asymLatticeCoeffCLM.congr_simp	Lattice.AsymFiniteField	GaussianField.AsymLatticeSites GaussianField.asymLatticeCoeffCLM GaussianField.AsymLatticeField
thm	Pphi2.schwingerN_perm	Pphi2.InteractingMeasure.General	Pphi2.interactingMeasure GaussianField.Configuration GaussianField.instMeasurableSpaceConfiguration Pphi2.schwingerN
thm	Pphi2.pphi2_measure_neg_invariant	Pphi2.ContinuumLimit.CharacteristicFunctional	Pphi2.EuclideanPlaneBackground.SpaceTime Pphi2.FieldConfig2 Pphi2.EuclideanPlaneBackground.RealTestFunction Pphi2.planeBackground Pphi2.EuclideanPlaneBackground.dim Pphi2.IsPphi2Limit Pphi2.SpaceTime2 Pphi2.PositiveTimeTestFunction2 GaussianField.instMeasurableSpaceConfiguration Pphi2.TestFunction2 Pphi2.ContinuumTestFunction Pphi2.compTimeReflection2 Pphi2.schwartzTranslate
thm	GaussianField.measure_eq_of_moments	Pphi2.TorusContinuumLimit.MeasureUniqueness	GaussianField.DyninMityaginSpace GaussianField.eval_map_eq_of_moments GaussianField.pushforward_eq_of_eval_eq GaussianField.configBasisEval_measurable GaussianField.Configuration GaussianField.instMeasurableSpaceConfiguration GaussianField.instMeasurableSpaceConfiguration_eq_comap GaussianField.configBasisEval
thm	GaussianField.circleSpacing_pos	SmoothCircle.Restriction	GaussianField.circleSpacing
thm	Pphi2.ChaosTailBridge.chaos_neg_tail_bound_explicit	Pphi2.NelsonEstimate.ChaosTailBridge	Pphi2.ChaosTailBridge.chaosTailConstant_pos GaussianHilbert.stdGaussianFin Pphi2.ChaosTailBridge.polynomial_chaos_concentration_explicit GaussianHilbert.wienerChaosLE Pphi2.ChaosTailBridge.chaosTailConstant
def	GaussianField.latticeGaussianFieldLaw	GaussianField.Density	GaussianField.evalMap GaussianField.FinLatticeSites GaussianField.latticeGaussianMeasure GaussianField.Configuration GaussianField.instMeasurableSpaceConfiguration GaussianField.FinLatticeField
def	Pphi2.ContinuumComplexTestFunction	Pphi2.Backgrounds.EuclideanPlane	Pphi2.planeBackground Pphi2.EuclideanPlaneBackground.ComplexTestFunction
thm	Pphi2.canonicalSumConfig_apply_delta	Pphi2.NelsonEstimate.FieldDecomposition	Pphi2.canonicalSumConfig GaussianField.finLatticeDelta GaussianField.FinLatticeSites GaussianField.Configuration Pphi2.canonicalSumFieldFunction Pphi2.latticeFieldToConfig GaussianField.FinLatticeField Pphi2.latticeFieldToConfig_apply Pphi2.CanonicalJoint
thm	GaussianField.hermiteFunctionNd_unpair	SchwartzNuclear.HermiteTensorProduct	GaussianField.euclideanSnoc_init_last GaussianField.hermiteFunctionNd GaussianField.MultiIndex GaussianField.euclideanSnoc GaussianField.euclideanInit GaussianField.multiIndexEquiv
